BUTTON_PRESSED[1]	BUTTON_PRESS_TIME[1]	DISPLAY_ON_TIME[1]	RESPONSE_TIME[1]	RESPONSE_ACCURACY[1]	visual	pic_category	correct	sentence	sentence_type	block	button_expected
4	365320.00	363032.37	2287	incorrect	fig2_rev_1d2_42px.png	4	0	"B < A"	2	4	2
2	374899.00	373581.78	1317	incorrect	fig2_9d10_28px.png	1	1	"B < A"	2	4	4
4	382099.00	380831.40	1267	correct	fig2_rev_1d2_42px.png	4	1	"B > A"	1	4	4
2	389676.00	388031.01	1644	correct	fig2_3d4_42px.png	3	0	"B > A"	1	4	2
2	397068.00	395797.22	1270	correct	fig2_5d6_28px.png	1	0	"B > A"	1	4	2
4	406990.00	403896.79	3093	correct	fig2_rev_9d10_42px.png	4	1	"B > A"	1	4	4
4	414875.00	412829.62	2045	correct	fig2_7d8_42px.png	3	1	"B < A"	2	4	4
2	424448.00	420629.19	3818	correct	fig2_rev_3d4_28px.png	2	0	"B < A"	2	4	2
2	434354.00	430861.98	3492	correct	fig2_1d2_28px.png	1	0	"B > A"	1	4	2
4	442956.00	441311.41	1644	correct	fig2_1d2_28px.png	1	1	"B < A"	2	4	4
4	450184.00	447794.38	2389	correct	fig2_5d6_28px.png	1	1	"B < A"	2	4	4
2	458076.00	456293.93	1782	correct	fig2_9d10_28px.png	1	0	"B > A"	1	4	2
2	467821.00	465843.39	1977	correct	fig2_7d8_42px.png	3	0	"B > A"	1	4	2
4	475123.00	473559.62	1563	correct	fig2_rev_3d4_28px.png	2	1	"B > A"	1	4	4
2	482134.00	480825.89	1308	correct	fig2_rev_7d8_28px.png	2	0	"B < A"	2	4	2
2	490062.00	487692.18	2369	incorrect	fig2_rev_7d8_28px.png	2	1	"B > A"	1	4	4
2	499893.00	497275.00	2618	correct	fig2_rev_9d10_42px.png	4	0	"B < A"	2	4	2
2	508578.00	506641.15	1936	correct	fig2_rev_5d6_42px.png	4	0	"B < A"	2	4	2
2	518918.00	515474.00	3443	incorrect	fig2_rev_5d6_42px.png	4	1	"B > A"	1	4	4
4	528765.00	527673.32	1091	correct	fig2_3d4_42px.png	3	1	"B < A"	2	4	4
2	614141.00	612768.66	1372	correct	fig2_rev_9d10_28px.png	2	0	"A > B"	1	3	2
4	621276.00	619968.25	1307	correct	fig2_rev_3d4_42px.png	4	1	"A < B"	2	3	4
4	629037.00	627334.53	1702	correct	fig2_rev_9d10_28px.png	2	1	"A < B"	2	3	4
2	637060.00	634967.44	2092	correct	fig2_rev_1d2_28px.png	2	0	"A > B"	1	3	2
2	644762.00	643233.63	1528	correct	fig2_7d8_28px.png	1	0	"A < B"	2	3	2
4	652905.00	651133.21	1771	correct	fig2_rev_5d6_28px.png	2	1	"A < B"	2	3	4
2	659484.00	657899.51	1584	correct	fig2_5d6_42px.png	3	0	"A < B"	2	3	2
4	667086.00	664432.48	2653	correct	fig2_rev_7d8_42px.png	4	1	"A < B"	2	3	4
2	675435.00	672082.06	3352	correct	fig2_3d4_28px.png	1	0	"A < B"	2	3	2
2	683870.00	682148.17	1721	correct	fig2_rev_5d6_28px.png	2	0	"A > B"	1	3	2
4	692601.00	691047.67	1553	correct	fig2_1d2_42px.png	3	1	"A > B"	1	3	4
4	699702.00	698163.96	1538	correct	fig2_rev_1d2_28px.png	2	1	"A < B"	2	3	4
2	707512.00	705880.21	1631	correct	fig2_rev_7d8_42px.png	4	0	"A > B"	1	3	2
4	715672.00	714613.07	1058	correct	fig2_5d6_42px.png	3	1	"A > B"	1	3	4
4	722330.00	721112.71	1217	correct	fig2_3d4_28px.png	1	1	"A > B"	1	3	4
2	729124.00	728078.98	1045	correct	fig2_rev_3d4_42px.png	4	0	"A > B"	1	3	2
4	737422.00	735478.57	1943	correct	fig2_7d8_28px.png	1	1	"A > B"	1	3	4
2	744564.00	742228.22	2335	correct	fig2_1d2_42px.png	3	0	"A < B"	2	3	2
2	753223.00	750861.07	2361	correct	fig2_9d10_42px.png	3	0	"A < B"	2	3	2
