BUTTON_PRESSED[1]	BUTTON_PRESS_TIME[1]	DISPLAY_ON_TIME[1]	RESPONSE_TIME[1]	RESPONSE_ACCURACY[1]	visual	pic_category	correct	sentence	sentence_type	block	button_expected
4	359835.00	358419.09	1415	correct	fig2_7d8_42px.png	3	1	"B < A"	2	4	4
2	365148.00	364518.71	629	incorrect	fig2_rev_1d2_42px.png	4	1	"B > A"	1	4	4
2	372469.00	371534.95	934	correct	fig2_rev_1d2_42px.png	4	0	"B < A"	2	4	2
4	378707.00	376917.95	1789	incorrect	fig2_rev_5d6_42px.png	4	0	"B < A"	2	4	2
4	385238.00	384334.17	903	correct	fig2_rev_3d4_28px.png	2	1	"B > A"	1	4	4
4	390998.00	389817.16	1180	correct	fig2_5d6_28px.png	1	1	"B < A"	2	4	4
2	397490.00	396766.73	723	correct	fig2_7d8_42px.png	3	0	"B > A"	1	4	2
4	402384.00	401866.43	517	correct	fig2_9d10_28px.png	1	1	"B < A"	2	4	4
2	407550.00	406749.47	800	correct	fig2_1d2_28px.png	1	0	"B > A"	1	4	2
2	412846.00	412215.78	630	correct	fig2_3d4_42px.png	3	0	"B > A"	1	4	2
4	419077.00	418165.42	911	correct	fig2_1d2_28px.png	1	1	"B < A"	2	4	4
4	424481.00	423065.13	1415	correct	fig2_rev_9d10_42px.png	4	1	"B > A"	1	4	4
2	429929.00	428698.10	1230	correct	fig2_rev_9d10_42px.png	4	0	"B < A"	2	4	2
2	436601.00	434647.76	1953	correct	fig2_9d10_28px.png	1	0	"B > A"	1	4	2
4	441872.00	441180.68	691	correct	fig2_rev_7d8_28px.png	2	1	"B > A"	1	4	4
4	447655.00	446763.66	891	correct	fig2_rev_5d6_42px.png	4	1	"B > A"	1	4	4
2	453018.00	452263.34	754	correct	fig2_rev_7d8_28px.png	2	0	"B < A"	2	4	2
4	458797.00	457813.00	984	correct	fig2_3d4_42px.png	3	1	"B < A"	2	4	4
2	463932.00	463029.33	902	correct	fig2_rev_3d4_28px.png	2	0	"B < A"	2	4	2
2	470716.00	469178.96	1537	correct	fig2_5d6_28px.png	1	0	"B > A"	1	4	2
