BUTTON_PRESSED[1]	BUTTON_PRESS_TIME[1]	DISPLAY_ON_TIME[1]	RESPONSE_TIME[1]	RESPONSE_ACCURACY[1]	visual	pic_category	correct	sentence	sentence_type	block	button_expected
2	298197.00	296505.55	1691	correct	fig2_rev_1d2_28px.png	2	0	"A > B"	1	3	2
2	306137.00	303605.14	2531	correct	fig2_1d2_42px.png	3	0	"A < B"	2	3	2
4	315390.00	313771.26	1618	correct	fig2_rev_5d6_28px.png	2	1	"A < B"	2	3	4
4	321489.00	320254.24	1234	correct	fig2_7d8_28px.png	1	1	"A > B"	1	3	4
4	330324.00	326420.56	3903	incorrect	fig2_9d10_42px.png	3	0	"A < B"	2	3	2
4	337779.00	336769.98	1009	correct	fig2_rev_1d2_28px.png	2	1	"A < B"	2	3	4
2	344809.00	343886.26	922	correct	fig2_3d4_28px.png	1	0	"A < B"	2	3	2
2	354493.00	351652.48	2840	correct	fig2_rev_3d4_42px.png	4	0	"A > B"	1	3	2
4	360956.00	359818.70	1137	correct	fig2_1d2_42px.png	3	1	"A > B"	1	3	4
4	368321.00	367368.30	952	correct	fig2_9d10_42px.png	3	1	"A > B"	1	3	4
2	375140.00	373667.95	1472	correct	fig2_5d6_42px.png	3	0	"A < B"	2	3	2
2	382391.00	380834.23	1556	correct	fig2_7d8_28px.png	1	0	"A < B"	2	3	2
4	390676.00	389283.76	1392	correct	fig2_rev_9d10_28px.png	2	1	"A < B"	2	3	4
4	396420.00	394950.11	1469	correct	fig2_5d6_42px.png	3	1	"A > B"	1	3	4
2	403850.00	402433.03	1416	correct	fig2_rev_5d6_28px.png	2	0	"A > B"	1	3	2
4	410360.00	409682.63	677	correct	fig2_3d4_28px.png	1	1	"A > B"	1	3	4
2	416850.00	415532.32	1317	correct	fig2_rev_7d8_42px.png	4	0	"A > B"	1	3	2
2	422989.00	421831.96	1157	correct	fig2_rev_9d10_28px.png	2	0	"A > B"	1	3	2
4	429100.00	428114.95	985	correct	fig2_rev_3d4_42px.png	4	1	"A < B"	2	3	4
4	434564.00	433564.65	999	correct	fig2_rev_7d8_42px.png	4	1	"A < B"	2	3	4
2	525486.00	524692.96	793	correct	fig2_rev_5d6_28px.png	2	0	"A jest wyższe niż B."	1	1	2
2	531019.00	530092.65	926	correct	fig2_1d2_42px.png	3	0	"A jest niższe niż B."	2	1	2
4	536542.00	535725.67	816	correct	fig2_7d8_28px.png	1	1	"A jest wyższe niż B."	1	1	4
2	542303.00	541658.67	644	correct	fig2_rev_1d2_28px.png	2	0	"A jest wyższe niż B."	1	1	2
