BUTTON_PRESSED[1]	BUTTON_PRESS_TIME[1]	DISPLAY_ON_TIME[1]	RESPONSE_TIME[1]	RESPONSE_ACCURACY[1]	visual	pic_category	correct	sentence	sentence_type	block	button_expected
2	293477.00	292377.26	1099	correct	fig2_rev_1d2_28px.png	2	0	"A jest wyższe niż B."	1	1	2
2	301499.00	298926.89	2572	correct	fig2_rev_7d8_42px.png	4	0	"A jest wyższe niż B."	1	1	2
4	307774.00	306776.43	997	correct	fig2_rev_1d2_28px.png	2	1	"A jest niższe niż B."	2	1	4
2	314643.00	313492.71	1150	correct	fig2_3d4_28px.png	1	0	"A jest niższe niż B."	2	1	2
2	322869.00	319992.33	2876	correct	fig2_rev_9d10_28px.png	2	0	"A jest wyższe niż B."	1	1	2
2	330558.00	329291.79	1266	incorrect	fig2_rev_9d10_28px.png	2	1	"A jest niższe niż B."	2	1	4
4	338747.00	337024.69	1722	incorrect	fig2_5d6_42px.png	3	0	"A jest niższe niż B."	2	1	2
4	347048.00	345840.83	1207	correct	fig2_7d8_28px.png	1	1	"A jest wyższe niż B."	1	1	4
4	353782.00	352523.77	1258	correct	fig2_rev_5d6_28px.png	2	1	"A jest niższe niż B."	2	1	4
2	361464.00	359506.70	1957	correct	fig2_7d8_28px.png	1	0	"A jest niższe niż B."	2	1	2
2	368013.00	367056.27	956	correct	fig2_rev_5d6_28px.png	2	0	"A jest wyższe niż B."	1	1	2
4	374432.00	373589.23	842	correct	fig2_1d2_42px.png	3	1	"A jest wyższe niż B."	1	1	4
2	381031.00	380155.51	875	correct	fig2_1d2_42px.png	3	0	"A jest niższe niż B."	2	1	2
4	388295.00	387271.77	1023	correct	fig2_3d4_28px.png	1	1	"A jest wyższe niż B."	1	1	4
4	397572.00	396621.22	950	correct	fig2_rev_3d4_42px.png	4	1	"A jest niższe niż B."	2	1	4
2	403748.00	402787.54	960	correct	fig2_rev_3d4_42px.png	4	0	"A jest wyższe niż B."	1	1	2
4	409480.00	408487.19	992	correct	fig2_5d6_42px.png	3	1	"A jest wyższe niż B."	1	1	4
2	415489.00	414686.85	802	correct	fig2_9d10_42px.png	3	0	"A jest niższe niż B."	2	1	2
4	421817.00	420853.16	963	correct	fig2_9d10_42px.png	3	1	"A jest wyższe niż B."	1	1	4
4	427920.00	426719.47	1200	correct	fig2_rev_7d8_42px.png	4	1	"A jest niższe niż B."	2	1	4
2	474569.00	473516.76	1052	correct	fig2_7d8_42px.png	3	0	"B > A"	1	4	2
4	481849.00	479433.09	2415	correct	fig2_9d10_28px.png	1	1	"B < A"	2	4	4
2	488958.00	486865.98	2092	correct	fig2_9d10_28px.png	1	0	"B > A"	1	4	2
4	495009.00	493748.91	1260	correct	fig2_rev_9d10_42px.png	4	1	"B > A"	1	4	4
4	500630.00	499865.22	764	correct	fig2_3d4_42px.png	3	1	"B < A"	2	4	4
2	507908.00	506148.21	1759	correct	fig2_rev_5d6_42px.png	4	0	"B < A"	2	4	2
2	513806.00	512797.82	1008	correct	fig2_1d2_28px.png	1	0	"B > A"	1	4	2
4	520749.00	519197.43	1551	correct	fig2_rev_7d8_28px.png	2	1	"B > A"	1	4	4
