BUTTON_PRESSED[1]	BUTTON_PRESS_TIME[1]	DISPLAY_ON_TIME[1]	RESPONSE_TIME[1]	RESPONSE_ACCURACY[1]	visual	pic_category	correct	sentence	sentence_type	block	button_expected
2	282941.00	278903.22	4037	correct	fig2_1d2_28px.png	1	0	"B > A"	1	4	2
4	295577.00	290669.24	4907	correct	fig2_rev_3d4_28px.png	2	1	"B > A"	1	4	4
2	303851.00	301835.30	2015	incorrect	fig2_1d2_28px.png	1	1	"B < A"	2	4	4
2	316908.00	312168.08	4739	correct	fig2_rev_9d10_42px.png	4	0	"B < A"	2	4	2
4	328329.00	325667.32	2661	correct	fig2_3d4_42px.png	3	1	"B < A"	2	4	4
0	-1	334850.16	-1	no_response	fig2_5d6_28px.png	1	0	"B > A"	1	4	2
2	348241.00	345466.24	2774	incorrect	fig2_5d6_28px.png	1	1	"B < A"	2	4	4
4	358881.00	354632.39	4248	incorrect	fig2_7d8_42px.png	3	0	"B > A"	1	4	2
2	369074.00	366231.76	2842	correct	fig2_rev_3d4_28px.png	2	0	"B < A"	2	4	2
4	377173.00	375281.27	1891	correct	fig2_rev_5d6_42px.png	4	1	"B > A"	1	4	4
4	384743.00	382980.84	1762	correct	fig2_9d10_28px.png	1	1	"B < A"	2	4	4
2	394603.00	392130.36	2472	correct	fig2_9d10_28px.png	1	0	"B > A"	1	4	2
4	402417.00	400363.23	2053	correct	fig2_rev_9d10_42px.png	4	1	"B > A"	1	4	4
2	411001.00	408512.78	2488	correct	fig2_rev_7d8_28px.png	2	0	"B < A"	2	4	2
2	418988.00	416962.32	2025	correct	fig2_rev_1d2_42px.png	4	0	"B < A"	2	4	2
4	427333.00	425045.20	2287	correct	fig2_rev_1d2_42px.png	4	1	"B > A"	1	4	4
4	435513.00	433411.40	2101	correct	fig2_rev_7d8_28px.png	2	1	"B > A"	1	4	4
2	442901.00	440061.04	2839	correct	fig2_3d4_42px.png	3	0	"B > A"	1	4	2
4	450430.00	448693.90	1736	correct	fig2_7d8_42px.png	3	1	"B < A"	2	4	4
2	458200.00	455776.85	2423	correct	fig2_rev_5d6_42px.png	4	0	"B < A"	2	4	2
2	499542.00	497724.56	1817	correct	fig2_rev_7d8_42px.png	4	0	"A > B"	1	3	2
4	507894.00	505140.82	2753	correct	fig2_rev_7d8_42px.png	4	1	"A < B"	2	3	4
4	516113.00	514773.60	1339	correct	fig2_rev_1d2_28px.png	2	1	"A < B"	2	3	4
2	523960.00	521573.24	2386	correct	fig2_rev_9d10_28px.png	2	0	"A > B"	1	3	2
2	532092.00	530856.07	1235	correct	fig2_9d10_42px.png	3	0	"A < B"	2	3	2
4	540993.00	537572.36	3420	correct	fig2_rev_5d6_28px.png	2	1	"A < B"	2	3	4
4	549025.00	547588.49	1436	correct	fig2_1d2_42px.png	3	1	"A > B"	1	3	4
2	556398.00	554671.43	1726	correct	fig2_1d2_42px.png	3	0	"A < B"	2	3	2
2	563900.00	561871.02	2028	correct	fig2_rev_1d2_28px.png	2	0	"A > B"	1	3	2
