BUTTON_PRESSED[1]	BUTTON_PRESS_TIME[1]	DISPLAY_ON_TIME[1]	RESPONSE_TIME[1]	RESPONSE_ACCURACY[1]	visual	pic_category	correct	sentence	sentence_type	block	button_expected
2	335331.00	333925.91	1405	correct	fig2_rev_1d2_28px.png	2	0	"A > B"	1	3	2
2	340937.00	339625.56	1311	incorrect	fig2_rev_9d10_28px.png	2	1	"A < B"	2	3	4
4	347841.00	346708.46	1132	correct	fig2_9d10_42px.png	3	1	"A > B"	1	3	4
2	356939.00	353308.05	3630	correct	fig2_9d10_42px.png	3	0	"A < B"	2	3	2
4	363695.00	362807.48	887	correct	fig2_5d6_42px.png	3	1	"A > B"	1	3	4
2	369706.00	368557.13	1148	correct	fig2_rev_9d10_28px.png	2	0	"A > B"	1	3	2
4	376489.00	374356.77	2132	correct	fig2_rev_5d6_28px.png	2	1	"A < B"	2	3	4
4	382465.00	381339.67	1125	correct	fig2_rev_1d2_28px.png	2	1	"A < B"	2	3	4
2	388401.00	387122.66	1278	correct	fig2_5d6_42px.png	3	0	"A < B"	2	3	2
2	393775.00	392655.65	1119	correct	fig2_1d2_42px.png	3	0	"A < B"	2	3	2
4	398944.00	398155.31	788	correct	fig2_rev_3d4_42px.png	4	1	"A < B"	2	3	4
4	404392.00	403371.66	1020	correct	fig2_3d4_28px.png	1	1	"A > B"	1	3	4
2	410041.00	408554.68	1486	correct	fig2_rev_5d6_28px.png	2	0	"A > B"	1	3	2
2	416493.00	414787.62	1705	correct	fig2_7d8_28px.png	1	0	"A < B"	2	3	2
4	422423.00	421637.20	785	correct	fig2_7d8_28px.png	1	1	"A > B"	1	3	4
4	427324.00	426436.91	887	correct	fig2_1d2_42px.png	3	1	"A > B"	1	3	4
2	433270.00	431553.26	1716	correct	fig2_3d4_28px.png	1	0	"A < B"	2	3	2
4	438698.00	437502.90	1195	correct	fig2_rev_7d8_42px.png	4	1	"A < B"	2	3	4
2	443372.00	442585.91	786	correct	fig2_rev_7d8_42px.png	4	0	"A > B"	1	3	2
