BUTTON_PRESSED[1]	BUTTON_PRESS_TIME[1]	DISPLAY_ON_TIME[1]	RESPONSE_TIME[1]	RESPONSE_ACCURACY[1]	visual	pic_category	correct	sentence	sentence_type	block	button_expected
2	492583.00	491498.86	1084	correct	fig2_3d4_28px.png	1	0	"A < B"	2	3	2
4	498146.00	497415.18	730	correct	fig2_9d10_42px.png	3	1	"A > B"	1	3	4
4	503848.00	502931.49	916	correct	fig2_rev_5d6_28px.png	2	1	"A < B"	2	3	4
2	508861.00	508181.16	679	correct	fig2_5d6_42px.png	3	0	"A < B"	2	3	2
2	514099.00	513430.83	668	correct	fig2_rev_1d2_28px.png	2	0	"A > B"	1	3	2
4	519171.00	518530.53	640	correct	fig2_7d8_28px.png	1	1	"A > B"	1	3	4
4	525320.00	523846.87	1473	correct	fig2_rev_9d10_28px.png	2	1	"A < B"	2	3	4
2	530702.00	529779.82	922	correct	fig2_9d10_42px.png	3	0	"A < B"	2	3	2
4	535810.00	534929.51	880	correct	fig2_rev_1d2_28px.png	2	1	"A < B"	2	3	4
2	540964.00	540029.21	934	correct	fig2_7d8_28px.png	1	0	"A < B"	2	3	2
4	546138.00	545062.22	1075	correct	fig2_rev_3d4_42px.png	4	1	"A < B"	2	3	4
4	551173.00	550361.91	811	correct	fig2_1d2_42px.png	3	1	"A > B"	1	3	4
4	556532.00	555778.23	753	incorrect	fig2_rev_3d4_42px.png	4	0	"A > B"	1	3	2
2	563224.00	561361.22	1862	correct	fig2_rev_5d6_28px.png	2	0	"A > B"	1	3	2
4	568385.00	567644.18	740	correct	fig2_5d6_42px.png	3	1	"A > B"	1	3	4
4	573115.00	572560.54	554	correct	fig2_3d4_28px.png	1	1	"A > B"	1	3	4
2	577965.00	577260.26	704	correct	fig2_rev_7d8_42px.png	4	0	"A > B"	1	3	2
2	583331.00	582176.61	1154	correct	fig2_rev_9d10_28px.png	2	0	"A > B"	1	3	2
4	588403.00	587542.94	860	correct	fig2_rev_7d8_42px.png	4	1	"A < B"	2	3	4
2	593477.00	592392.66	1084	correct	fig2_1d2_42px.png	3	0	"A < B"	2	3	2
4	650523.00	649672.48	850	correct	fig2_rev_3d4_42px.png	4	1	"A jest niższe niż B."	2	1	4
