3	"practice_3.png"	"Miś przyniósł dwa kasztany."	"yes"	4	"practice"	"practice"	"practice"	1	(417,66)	(154,66)	(684,66)	(417,374)	(417,221)	(417,529)	(154,374)	(684,374)	(154,221)	(154,529)	(684,221)	(684,529)
3	"practice_6.png"	"Lew nie wygrał żadnych chorągiewek."	"no"	2	"practice"	"practice"	"practice"	1	(154,66)	(417,66)	(684,66)	(154,374)	(154,221)	(154,529)	(417,374)	(684,374)	(417,221)	(417,529)	(684,221)	(684,529)
3	"practice_1.png"	"Lew zjadł dużo kiełbasek."	"yes"	4	"practice"	"practice"	"practice"	1	(154,66)	(417,66)	(684,66)	(154,529)	(154,221)	(154,374)	(417,529)	(684,529)	(417,221)	(417,374)	(684,221)	(684,374)
3	"practice_4.png"	"Pies znalazł siedem kul."	"no"	2	"practice"	"practice"	"practice"	1	(684,66)	(154,66)	(417,66)	(684,374)	(684,221)	(684,529)	(154,374)	(417,374)	(154,221)	(154,529)	(417,221)	(417,529)
3	"practice_5.png"	"Osioł namalował wiele ludzików."	"no"	2	"practice"	"practice"	"practice"	1	(417,66)	(154,66)	(684,66)	(417,221)	(417,374)	(417,529)	(154,221)	(684,221)	(154,374)	(154,529)	(684,374)	(684,529)
3	"practice_2.png"	"Prosiaczek wypił mało herbaty."	"yes"	4	"practice"	"practice"	"practice"	1	(417,66)	(154,66)	(684,66)	(417,374)	(417,221)	(417,529)	(154,374)	(684,374)	(154,221)	(154,529)	(684,221)	(684,529)
3	"24_filler-no_Trgt-4_steal.png"	"Prosiaczek ukradł sześć kapeluszy."	"no"	2	"filler"	"filler"	"filler"	2	(684,66)	(154,66)	(417,66)	(684,374)	(684,221)	(684,529)	(154,374)	(417,374)	(154,221)	(154,529)	(417,221)	(417,529)
3	"14_filler-no_Trgt-3_bring.png"	"Lew przyniósł pięć siekierek."	"no"	2	"filler"	"filler"	"filler"	2	(154,66)	(417,66)	(684,66)	(154,374)	(154,221)	(154,529)	(417,374)	(684,374)	(417,221)	(417,529)	(684,221)	(684,529)
3	"12_most-yes-stot_trgt3_catch.png"	"Najwięcej balonów złapał królik."	"yes"	4	"expt"	"most"	"subject"	2	(684,66)	(154,66)	(417,66)	(684,529)	(684,221)	(684,374)	(154,529)	(417,529)	(154,221)	(154,374)	(417,221)	(417,374)
3	"1_filler-no_Trgt-3_eat.png"	"Miś zjadł parę arbuzów."	"no"	2	"filler"	"filler"	"filler"	2	(417,66)	(154,66)	(684,66)	(417,221)	(417,374)	(417,374)	(154,221)	(684,221)	(154,529)	(154,374)	(684,529)	(684,374)
3	"5_most-yes-sfot_trgt3_buy.png"	"Pies kupił nie tylko papryki."	"yes"	4	"expt"	"only"	"object"	2	(154,66)	(417,66)	(684,66)	(154,374)	(154,221)	(154,529)	(417,374)	(684,374)	(417,221)	(417,529)	(684,221)	(684,529)
3	"8_most-no-sfof_trgt6_collect.png"	"Najwięcej kamieni zebrał miś."	"no"	2	"expt"	"most"	"subject"	2	(154,66)	(417,66)	(684,66)	(154,374)	(154,221)	(154,529)	(417,374)	(684,374)	(417,221)	(417,529)	(684,221)	(684,529)
